"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,812",4,288,"10.0.22.101","13,003",2,152,440,tcp,"511,510,278",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,812",2,144,"10.0.22.101","13,003",1,76,220,tcp,"511,477,622",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,414",4,288,"10.0.22.101","13,004",2,152,440,tcp,"226,276",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,414",2,144,"10.0.22.101","13,004",1,76,220,tcp,"203,141",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,598",4,288,"10.0.22.101","13,005",2,152,440,tcp,"270,429",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,598",2,144,"10.0.22.101","13,005",1,76,220,tcp,"200,265",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,586",4,288,"10.0.22.101","13,006",2,152,440,tcp,"244,110",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,586",2,144,"10.0.22.101","13,006",1,76,220,tcp,"195,438",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,950",4,288,"10.0.22.101","13,001",2,152,440,tcp,"252,614",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,950",2,144,"10.0.22.101","13,001",1,76,220,tcp,"209,412",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,952",12,"1,410","10.0.22.101","13,001",12,"1,146","2,556",tcp,"1,255,053",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,952",6,705,"10.0.22.101","13,001",6,573,"1,278",tcp,"1,118,545",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,954",12,"1,290","10.0.22.101","13,001",12,"2,222","3,512",tcp,"508,719,139",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,954",6,645,"10.0.22.101","13,001",6,"1,111","1,756",tcp,"508,584,180",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,662",4,288,"10.0.22.101","13,002",2,152,440,tcp,"281,783",6
