"@timestamp","source.bytes","source.packets","destination.bytes","destination.packets","network.packets","network.bytes","network.transport","event.duration"
"Jan 22, 2020 @ 17:20:00.009","125,943,442","14,573","20,331,107","10,286","24,859","146,274,549",tcp,"2,924,512,041,201"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"229,797"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"181,902"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"267,602"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"225,477"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"228,039"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"208,488"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"229,155"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"194,730"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"853,926"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"817,571"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"604,656"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"360,297"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"229,688"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"187,081"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"214,259"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"180,738"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"217,071"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"183,664"
"Jan 22, 2020 @ 17:20:00.009",288,4,152,2,6,440,tcp,"246,941"
"Jan 22, 2020 @ 17:20:00.009",144,2,76,1,3,220,tcp,"198,096"
